"Step","Self-attention-prompt-1-3 - eval_stdev","Self-attention-prompt-1-3 - eval_stdev__MIN","Self-attention-prompt-1-3 - eval_stdev__MAX"
"75","0.15653047083585747","0.15653047083585747","0.15653047083585747"
"101","0.15627000016890233","0.15627000016890233","0.15627000016890233"
"127","0.14974996799247772","0.14974996799247772","0.14974996799247772"
"153","0.159592345242375","0.159592345242375","0.159592345242375"
"179","0.15637560336254713","0.15637560336254713","0.15637560336254713"
"205","0.1483528509744638","0.1483528509744638","0.1483528509744638"
"231","0.15447890470245426","0.15447890470245426","0.15447890470245426"
"257","0.17683398244124107","0.17683398244124107","0.17683398244124107"
"283","0.13750135808291758","0.13750135808291758","0.13750135808291758"
"309","0.15841051503189757","0.15841051503189757","0.15841051503189757"
"335","0.15906629284588664","0.15906629284588664","0.15906629284588664"
"361","0.15628254341662148","0.15628254341662148","0.15628254341662148"
"387","0.1673485887001688","0.1673485887001688","0.1673485887001688"
"413","0.15298885693405465","0.15298885693405465","0.15298885693405465"
"439","0.1721081398026526","0.1721081398026526","0.1721081398026526"
"465","0.1607722514080137","0.1607722514080137","0.1607722514080137"
"491","0.1585251268399196","0.1585251268399196","0.1585251268399196"
"517","0.16166434539364843","0.16166434539364843","0.16166434539364843"
"543","0.1582547984133324","0.1582547984133324","0.1582547984133324"
"569","0.15588899314152188","0.15588899314152188","0.15588899314152188"
"595","0.1570739261020897","0.1570739261020897","0.1570739261020897"
"621","0.15407944179214136","0.15407944179214136","0.15407944179214136"
"647","0.172202986968988","0.172202986968988","0.172202986968988"
"673","0.16547171771822117","0.16547171771822117","0.16547171771822117"
"699","0.14808914369875234","0.14808914369875234","0.14808914369875234"
"725","0.18355357524822338","0.18355357524822338","0.18355357524822338"
"751","0.18630410874012227","0.18630410874012227","0.18630410874012227"
"777","0.17235843503097154","0.17235843503097154","0.17235843503097154"
"803","0.18972996087430383","0.18972996087430383","0.18972996087430383"
"829","0.1626109640292245","0.1626109640292245","0.1626109640292245"
"855","0.16649027210779485","0.16649027210779485","0.16649027210779485"
"881","0.17739627491010332","0.17739627491010332","0.17739627491010332"
"907","0.17094265065065203","0.17094265065065203","0.17094265065065203"
"933","0.1891009312658602","0.1891009312658602","0.1891009312658602"
"959","0.17968270900546915","0.17968270900546915","0.17968270900546915"
"985","0.16156095168649018","0.16156095168649018","0.16156095168649018"
"1011","0.18442587281725273","0.18442587281725273","0.18442587281725273"
"1037","0.1834622424642586","0.1834622424642586","0.1834622424642586"
"1063","0.1779305140329452","0.1779305140329452","0.1779305140329452"
"1089","0.16814387275229856","0.16814387275229856","0.16814387275229856"
"1115","0.17037595477365322","0.17037595477365322","0.17037595477365322"
"1141","0.1793229530588028","0.1793229530588028","0.1793229530588028"
"1167","0.1917998542056438","0.1917998542056438","0.1917998542056438"
"1193","0.16924070584373757","0.16924070584373757","0.16924070584373757"
"1219","0.1581773037141463","0.1581773037141463","0.1581773037141463"
"1245","0.16257578292252303","0.16257578292252303","0.16257578292252303"
"1271","0.16402578340191967","0.16402578340191967","0.16402578340191967"
