"Step","Self-attention-prompt-1-3 - eval_stdev","Self-attention-prompt-1-3 - eval_stdev__MIN","Self-attention-prompt-1-3 - eval_stdev__MAX"
"1297","0.16996797829571444","0.16996797829571444","0.16996797829571444"
"1323","0.19291341436529635","0.19291341436529635","0.19291341436529635"
"1349","0.1585139645206314","0.1585139645206314","0.1585139645206314"
"1375","0.18021518409903647","0.18021518409903647","0.18021518409903647"
"1401","0.16489711968014417","0.16489711968014417","0.16489711968014417"
"1427","0.17274541008214073","0.17274541008214073","0.17274541008214073"
"1453","0.1742994109024087","0.1742994109024087","0.1742994109024087"
"1479","0.16061411727315184","0.16061411727315184","0.16061411727315184"
"1505","0.1609423698773528","0.1609423698773528","0.1609423698773528"
"1531","0.17201194364963435","0.17201194364963435","0.17201194364963435"
"1557","0.15861583027060852","0.15861583027060852","0.15861583027060852"
"1583","0.18488912836377594","0.18488912836377594","0.18488912836377594"
"1609","0.17063197735350275","0.17063197735350275","0.17063197735350275"
"1635","0.1645546399442623","0.1645546399442623","0.1645546399442623"
"1661","0.17023508444561686","0.17023508444561686","0.17023508444561686"
"1687","0.16912892941113167","0.16912892941113167","0.16912892941113167"
"1713","0.1678090060782628","0.1678090060782628","0.1678090060782628"
"1739","0.1600299310161648","0.1600299310161648","0.1600299310161648"
"1765","0.1710210860842859","0.1710210860842859","0.1710210860842859"
"1791","0.15115319460046273","0.15115319460046273","0.15115319460046273"
"1817","0.1693706817278364","0.1693706817278364","0.1693706817278364"
"1843","0.15378694690750555","0.15378694690750555","0.15378694690750555"
"1869","0.16457422654267134","0.16457422654267134","0.16457422654267134"
"1895","0.16579831866155437","0.16579831866155437","0.16579831866155437"
"1921","0.1605301729391788","0.1605301729391788","0.1605301729391788"
"1947","0.16478990771367152","0.16478990771367152","0.16478990771367152"
"1973","0.1575094110332018","0.1575094110332018","0.1575094110332018"
"1999","0.15141021548684316","0.15141021548684316","0.15141021548684316"
"2025","0.16698621734685676","0.16698621734685676","0.16698621734685676"
"2051","0.1578926482399724","0.1578926482399724","0.1578926482399724"
"2077","0.1567648028528303","0.1567648028528303","0.1567648028528303"
"2103","0.1470897535427467","0.1470897535427467","0.1470897535427467"
"2129","0.14770994382283303","0.14770994382283303","0.14770994382283303"
"2155","0.15507342293280366","0.15507342293280366","0.15507342293280366"
"2181","0.15078656256771225","0.15078656256771225","0.15078656256771225"
"2207","0.13730398000144972","0.13730398000144972","0.13730398000144972"
"2233","0.14792751110081973","0.14792751110081973","0.14792751110081973"
"2259","0.14845088437780798","0.14845088437780798","0.14845088437780798"
"2285","0.14381621223881058","0.14381621223881058","0.14381621223881058"
"2311","0.1443421456026174","0.1443421456026174","0.1443421456026174"
"2337","0.1393423184805723","0.1393423184805723","0.1393423184805723"
"2363","0.13622743457511513","0.13622743457511513","0.13622743457511513"
"2389","0.131510558894402","0.131510558894402","0.131510558894402"
"2415","0.12944672676273744","0.12944672676273744","0.12944672676273744"
"2441","0.12587646116899015","0.12587646116899015","0.12587646116899015"
"2467","0.12101093745206071","0.12101093745206071","0.12101093745206071"
"2493","0.12173985236415763","0.12173985236415763","0.12173985236415763"
"2519","0.11947828679305211","0.11947828679305211","0.11947828679305211"
"2545","0.11633137051211356","0.11633137051211356","0.11633137051211356"
"2571","0.11347725055754079","0.11347725055754079","0.11347725055754079"
"2597","0.11065913790648398","0.11065913790648398","0.11065913790648398"
"2623","0.10661555803019904","0.10661555803019904","0.10661555803019904"
"2649","0.10632842313721218","0.10632842313721218","0.10632842313721218"
"2650","0.10632842313721218","0.10632842313721218","0.10632842313721218"
