"Step","Self-attention-prompt-1-3 - eval_qwk","Self-attention-prompt-1-3 - eval_qwk__MIN","Self-attention-prompt-1-3 - eval_qwk__MAX"
"75","0.15085594877702468","0.15085594877702468","0.15085594877702468"
"101","0.1633092334014018","0.1633092334014018","0.1633092334014018"
"127","0.18334810908291843","0.18334810908291843","0.18334810908291843"
"153","0.1937901075336883","0.1937901075336883","0.1937901075336883"
"179","0.2007892140743177","0.2007892140743177","0.2007892140743177"
"205","0.19372656855770232","0.19372656855770232","0.19372656855770232"
"231","0.1921196274675535","0.1921196274675535","0.1921196274675535"
"257","0.1736891817994588","0.1736891817994588","0.1736891817994588"
"283","0.11816267073616771","0.11816267073616771","0.11816267073616771"
"309","0.1994361313425097","0.1994361313425097","0.1994361313425097"
"335","0.19668060428381473","0.19668060428381473","0.19668060428381473"
"361","0.20277146977407212","0.20277146977407212","0.20277146977407212"
"387","0.18961649726953478","0.18961649726953478","0.18961649726953478"
"413","0.20277146977407212","0.20277146977407212","0.20277146977407212"
"439","0.1821526047229144","0.1821526047229144","0.1821526047229144"
"465","0.18368450704225348","0.18368450704225348","0.18368450704225348"
"491","0.17348534530595772","0.17348534530595772","0.17348534530595772"
"517","0.18515594157125936","0.18515594157125936","0.18515594157125936"
"543","0.19131491279639423","0.19131491279639423","0.19131491279639423"
"569","0.18511596812301057","0.18511596812301057","0.18511596812301057"
"595","0.1831154814725986","0.1831154814725986","0.1831154814725986"
"621","0.22064300507542023","0.22064300507542023","0.22064300507542023"
"647","0.3183714849794568","0.3183714849794568","0.3183714849794568"
"673","0.5769938876205907","0.5769938876205907","0.5769938876205907"
"699","0.7852793161293288","0.7852793161293288","0.7852793161293288"
"725","0.8021406069618643","0.8021406069618643","0.8021406069618643"
"751","0.760216794281869","0.760216794281869","0.760216794281869"
"777","0.8133288568071176","0.8133288568071176","0.8133288568071176"
"803","0.8119254214403431","0.8119254214403431","0.8119254214403431"
"829","0.8028912633563796","0.8028912633563796","0.8028912633563796"
"855","0.8410399257195915","0.8410399257195915","0.8410399257195915"
"881","0.7939830748673928","0.7939830748673928","0.7939830748673928"
"907","0.8239974753736221","0.8239974753736221","0.8239974753736221"
"933","0.8129027125924747","0.8129027125924747","0.8129027125924747"
"959","0.81725719049604","0.81725719049604","0.81725719049604"
"985","0.8372165566886622","0.8372165566886622","0.8372165566886622"
"1011","0.8072678766320385","0.8072678766320385","0.8072678766320385"
"1037","0.807138639464093","0.807138639464093","0.807138639464093"
"1063","0.8150523118461019","0.8150523118461019","0.8150523118461019"
"1089","0.8309522715788507","0.8309522715788507","0.8309522715788507"
"1115","0.8162849981791307","0.8162849981791307","0.8162849981791307"
"1141","0.8124463609151613","0.8124463609151613","0.8124463609151613"
"1167","0.8135082979544577","0.8135082979544577","0.8135082979544577"
"1193","0.8160170220471727","0.8160170220471727","0.8160170220471727"
"1219","0.807767218115687","0.807767218115687","0.807767218115687"
"1245","0.795310705196063","0.795310705196063","0.795310705196063"
"1271","0.8233147685807567","0.8233147685807567","0.8233147685807567"
"1297","0.8160709805442146","0.8160709805442146","0.8160709805442146"
"1323","0.820211161387632","0.820211161387632","0.820211161387632"
"1349","0.8257265410381223","0.8257265410381223","0.8257265410381223"
"1375","0.8061850707953953","0.8061850707953953","0.8061850707953953"
"1401","0.8161309313552337","0.8161309313552337","0.8161309313552337"
"1427","0.827345703382024","0.827345703382024","0.827345703382024"
"1453","0.8188251946213729","0.8188251946213729","0.8188251946213729"
"1479","0.8258524369100366","0.8258524369100366","0.8258524369100366"
"1505","0.8266705013900872","0.8266705013900872","0.8266705013900872"
"1531","0.8258779785521573","0.8258779785521573","0.8258779785521573"
"1557","0.8235876172077463","0.8235876172077463","0.8235876172077463"
"1583","0.80705957514774","0.80705957514774","0.80705957514774"
"1609","0.820388890126289","0.820388890126289","0.820388890126289"
"1635","0.8305533492189568","0.8305533492189568","0.8305533492189568"
"1661","0.8192813945215226","0.8192813945215226","0.8192813945215226"
"1687","0.821293984108967","0.821293984108967","0.821293984108967"
"1713","0.8155062187608974","0.8155062187608974","0.8155062187608974"
"1739","0.8267950376011879","0.8267950376011879","0.8267950376011879"
"1765","0.8288178191795983","0.8288178191795983","0.8288178191795983"
"1791","0.8325889001307899","0.8325889001307899","0.8325889001307899"
"1817","0.8067174321030265","0.8067174321030265","0.8067174321030265"
"1843","0.8325009604302728","0.8325009604302728","0.8325009604302728"
"1869","0.8197308999487872","0.8197308999487872","0.8197308999487872"
"1895","0.8310737852429514","0.8310737852429514","0.8310737852429514"
"1921","0.8304309078208927","0.8304309078208927","0.8304309078208927"
"1947","0.8238560214436148","0.8238560214436148","0.8238560214436148"
"1973","0.8355513538409328","0.8355513538409328","0.8355513538409328"
"1999","0.8380025557849209","0.8380025557849209","0.8380025557849209"
"2025","0.8131806444369597","0.8131806444369597","0.8131806444369597"
"2051","0.8307831664504125","0.8307831664504125","0.8307831664504125"
"2077","0.8386541584854434","0.8386541584854434","0.8386541584854434"
"2103","0.819325035288079","0.819325035288079","0.819325035288079"
"2129","0.8378830357582018","0.8378830357582018","0.8378830357582018"
"2155","0.8318002628120893","0.8318002628120893","0.8318002628120893"
"2181","0.8378830357582018","0.8378830357582018","0.8378830357582018"
"2207","0.8294148708793281","0.8294148708793281","0.8294148708793281"
"2233","0.8378830357582018","0.8378830357582018","0.8378830357582018"
"2259","0.836613294998265","0.836613294998265","0.836613294998265"
