global_step,train_loss,mcc,acc,eval_loss
2000,0.3352552056312561,0.8304628085186206,0.8938569206842923,0.2992883565578055
2532,0.2833663523197174,0.8435113316640861,0.9007998222617196,0.28533211096804195
4000,0.1446508765220642,0.8569653264986022,0.9096311930682071,0.26050955215667154
5064,0.24725700914859772,0.8599230029477176,0.912019551210842,0.2597248283683831
6000,0.12117743492126465,0.8611400370156931,0.9127971561875139,0.2583805053158009
7596,0.1617257446050644,0.863719380101425,0.9136858475894246,0.2560822379293171
